Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
256829,-1.8202,GO
256830,-1.8202,GO
256831,-1.8199,GO
256832,-1.8196,GO
256833,-1.8194,GO
256834,-1.8189,GO
256835,-1.8184,GO
256836,-1.8181,GO
256837,-1.8179,GO
256838,-1.8173,GO
256839,-1.8171,GO
256840,-1.8166,GO
256841,-1.8166,GO
256842,-1.8163,GO
256843,-1.8161,GO
256844,-1.8158,GO
256845,-1.8156,GO
256846,-1.8153,GO
256847,-1.8148,GO
256848,-1.8145,GO
256849,-1.8143,GO
256850,-1.8140,GO
256851,-1.8140,GO
256852,-1.8140,GO
256853,-1.8138,GO
256854,-1.8138,GO
256855,-1.8135,GO
256856,-1.8138,GO
256857,-1.8138,GO
256858,-1.8140,GO
256859,-1.8143,GO
256860,-1.8145,GO
256861,-1.8145,GO
256862,-1.8150,GO
256863,-1.8150,GO
256864,-1.8156,GO
256865,-1.8158,GO
256866,-1.8158,GO
256867,-1.8158,GO
256868,-1.8161,GO
256869,-1.8163,GO
256870,-1.8166,GO
256871,-1.8168,GO
256872,-1.8171,GO
256873,-1.8171,GO
256874,-1.8176,GO
256875,-1.8176,GO
256876,-1.8176,GO
256877,-1.8179,GO
256878,-1.8179,GO
256879,-1.8181,GO
256880,-1.8184,GO
256881,-1.8186,GO
256882,-1.8186,GO
256883,-1.8186,GO
256884,-1.8189,GO
256885,-1.8189,GO
256886,-1.8189,GO
256887,-1.8189,GO
256888,-1.8189,GO
256889,-1.8189,GO
256890,-1.8191,GO
256891,-1.8191,GO
256892,-1.8194,GO
256893,-1.8191,GO
256894,-1.8191,GO
256895,-1.8191,GO
256896,-1.8191,GO
256897,-1.8189,GO
256898,-1.8189,GO
256899,-1.8186,GO
256900,-1.8186,GO
256901,-1.8184,GO
256902,-1.8181,GO
256903,-1.8181,GO
256904,-1.8179,GO
256905,-1.8176,GO
256906,-1.8171,GO
256907,-1.8171,GO
256908,-1.8168,GO
256909,-1.8163,GO
256910,-1.8163,GO
256911,-1.8158,GO
256912,-1.8156,GO
256913,-1.8153,GO
256914,-1.8150,GO
256915,-1.8150,GO
256916,-1.8148,GO
256917,-1.8145,GO
256918,-1.8140,GO
256919,-1.8140,GO
256920,-1.8138,GO
256921,-1.8138,GO
256922,-1.8138,GO
256923,-1.8138,GO
256924,-1.8138,GO
256925,-1.8135,GO
256926,-1.8138,GO
256927,-1.8138,GO
256928,-1.8140,GO
256929,-1.8143,GO
256930,-1.8145,GO
256931,-1.8148,GO
256932,-1.8150,GO
256933,-1.8156,GO
256934,-1.8158,GO
256935,-1.8163,GO
256936,-1.8171,GO
256937,-1.8173,GO
256938,-1.8179,GO
256939,-1.8181,GO
256940,-1.8184,GO
256941,-1.8186,GO
256942,-1.8191,GO
256943,-1.8194,GO
256944,-1.8196,GO
256945,-1.8199,GO
256946,-1.8199,GO
256947,-1.8202,GO
256948,-1.8204,GO
256949,-1.8207,GO
256950,-1.8209,GO
256951,-1.8209,GO
256952,-1.8209,GO
256953,-1.8209,GO
256954,-1.8207,GO
256955,-1.8204,GO
256956,-1.8204,GO
256957,-1.8199,GO
256958,-1.8196,GO
256959,-1.8194,GO
256960,-1.8191,GO
256961,-1.8189,GO
256962,-1.8186,GO
256963,-1.8186,GO
256964,-1.8186,GO
256965,-1.8184,GO
256966,-1.8181,GO
256967,-1.8176,GO
256968,-1.8173,GO
256969,-1.8171,GO
256970,-1.8168,GO
256971,-1.8166,GO
256972,-1.8166,GO
256973,-1.8166,GO
256974,-1.8163,GO
256975,-1.8163,GO
256976,-1.8163,GO
256977,-1.8163,GO
256978,-1.8163,GO
