Version,1
Sampling cycle,1000us
Out count,1
Data count,23821
First index,885114

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
885662,-2.9179,GO
885663,-2.9181,GO
885664,-2.9181,GO
885665,-2.9184,GO
885666,-2.9184,GO
885667,-2.9184,GO
885668,-2.9187,GO
885669,-2.9189,GO
885670,-2.9187,GO
885671,-2.9187,GO
885672,-2.9187,GO
885673,-2.9187,GO
885674,-2.9184,GO
885675,-2.9184,GO
885676,-2.9184,GO
885677,-2.9184,GO
885678,-2.9184,GO
885679,-2.9184,GO
885680,-2.9184,GO
885681,-2.9187,GO
885682,-2.9187,GO
885683,-2.9187,GO
885684,-2.9189,GO
885685,-2.9189,GO
885686,-2.9189,GO
885687,-2.9187,GO
885688,-2.9189,GO
885689,-2.9192,GO
885690,-2.9192,GO
885691,-2.9192,GO
885692,-2.9192,GO
885693,-2.9189,GO
885694,-2.9187,GO
885695,-2.9184,GO
885696,-2.9187,GO
885697,-2.9187,GO
885698,-2.9187,GO
885699,-2.9187,GO
885700,-2.9187,GO
885701,-2.9187,GO
885702,-2.9184,GO
885703,-2.9181,GO
885704,-2.9181,GO
885705,-2.9179,GO
885706,-2.9179,GO
885707,-2.9176,GO
885708,-2.9176,GO
885709,-2.9174,GO
885710,-2.9174,GO
885711,-2.9176,GO
885712,-2.9171,GO
885713,-2.9169,GO
885714,-2.9169,GO
885715,-2.9166,GO
885716,-2.9166,GO
885717,-2.9164,GO
885718,-2.9161,GO
885719,-2.9161,GO
885720,-2.9161,GO
885721,-2.9158,GO
885722,-2.9158,GO
885723,-2.9156,GO
885724,-2.9153,GO
885725,-2.9156,GO
885726,-2.9156,GO
885727,-2.9151,GO
885728,-2.9153,GO
885729,-2.9151,GO
885730,-2.9153,GO
885731,-2.9151,GO
885732,-2.9146,GO
885733,-2.9146,GO
885734,-2.9146,GO
885735,-2.9146,GO
885736,-2.9146,GO
885737,-2.9140,GO
885738,-2.9140,GO
885739,-2.9143,GO
885740,-2.9140,GO
885741,-2.9143,GO
885742,-2.9143,GO
885743,-2.9143,GO
885744,-2.9146,GO
885745,-2.9143,GO
885746,-2.9143,GO
885747,-2.9143,GO
885748,-2.9143,GO
885749,-2.9146,GO
885750,-2.9143,GO
885751,-2.9146,GO
885752,-2.9143,GO
885753,-2.9138,GO
885754,-2.9138,GO
885755,-2.9138,GO
885756,-2.9138,GO
885757,-2.9138,GO
885758,-2.9138,GO
885759,-2.9140,GO
885760,-2.9140,GO
885761,-2.9140,GO
885762,-2.9138,GO
885763,-2.9135,GO
885764,-2.9138,GO
885765,-2.9135,GO
885766,-2.9138,GO
885767,-2.9138,GO
885768,-2.9140,GO
885769,-2.9138,GO
885770,-2.9138,GO
885771,-2.9140,GO
885772,-2.9138,GO
885773,-2.9135,GO
885774,-2.9138,GO
885775,-2.9135,GO
885776,-2.9135,GO
885777,-2.9138,GO
885778,-2.9138,GO
885779,-2.9138,GO
885780,-2.9138,GO
885781,-2.9138,GO
885782,-2.9140,GO
885783,-2.9140,GO
885784,-2.9140,GO
885785,-2.9140,GO
885786,-2.9140,GO
885787,-2.9140,GO
885788,-2.9140,GO
885789,-2.9140,GO
885790,-2.9143,GO
885791,-2.9146,GO
885792,-2.9146,GO
885793,-2.9146,GO
885794,-2.9146,GO
885795,-2.9146,GO
885796,-2.9146,GO
885797,-2.9148,GO
885798,-2.9148,GO
885799,-2.9148,GO
885800,-2.9148,GO
885801,-2.9151,GO
885802,-2.9153,GO
885803,-2.9153,GO
885804,-2.9153,GO
885805,-2.9151,GO
885806,-2.9153,GO
885807,-2.9153,GO
885808,-2.9153,GO
885809,-2.9153,GO
885810,-2.9151,GO
885811,-2.9151,GO
885812,-2.9148,GO
885813,-2.9148,GO
885814,-2.9148,GO
885815,-2.9148,GO
885816,-2.9148,GO
885817,-2.9153,GO
885818,-2.9153,GO
885819,-2.9156,GO
885820,-2.9156,GO
885821,-2.9156,GO
885822,-2.9158,GO
885823,-2.9158,GO
885824,-2.9161,GO
885825,-2.9161,GO
885826,-2.9164,GO
885827,-2.9169,GO
885828,-2.9169,GO
885829,-2.9171,GO
885830,-2.9171,GO
885831,-2.9174,GO
885832,-2.9176,GO
885833,-2.9181,GO
885834,-2.9184,GO
885835,-2.9187,GO
885836,-2.9189,GO
885837,-2.9194,GO
885838,-2.9192,GO
885839,-2.9194,GO
885840,-2.9194,GO
885841,-2.9194,GO
885842,-2.9197,GO
885843,-2.9199,GO
885844,-2.9199,GO
885845,-2.9202,GO
885846,-2.9202,GO
885847,-2.9199,GO
885848,-2.9202,GO
885849,-2.9202,GO
885850,-2.9202,GO
885851,-2.9202,GO
885852,-2.9204,GO
885853,-2.9202,GO
885854,-2.9202,GO
885855,-2.9199,GO
885856,-2.9202,GO
885857,-2.9202,GO
885858,-2.9204,GO
885859,-2.9204,GO
885860,-2.9204,GO
885861,-2.9202,GO
885862,-2.9204,GO
885863,-2.9202,GO
885864,-2.9202,GO
885865,-2.9199,GO
885866,-2.9199,GO
885867,-2.9197,GO
885868,-2.9197,GO
885869,-2.9197,GO
885870,-2.9197,GO
885871,-2.9194,GO
