Version,1
Sampling cycle,1000us
Out count,1
Data count,6169
First index,11684

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
12439,-2.0721,GO
12440,-2.0721,GO
12441,-2.0718,GO
12442,-2.0718,GO
12443,-2.0718,GO
12444,-2.0718,GO
12445,-2.0716,GO
12446,-2.0716,GO
12447,-2.0713,GO
12448,-2.0713,GO
12449,-2.0710,GO
12450,-2.0710,GO
12451,-2.0710,GO
12452,-2.0710,GO
12453,-2.0708,GO
12454,-2.0705,GO
12455,-2.0705,GO
12456,-2.0705,GO
12457,-2.0705,GO
12458,-2.0703,GO
12459,-2.0703,GO
12460,-2.0703,GO
12461,-2.0703,GO
12462,-2.0703,GO
12463,-2.0705,GO
12464,-2.0705,GO
12465,-2.0708,GO
12466,-2.0708,GO
12467,-2.0708,GO
12468,-2.0708,GO
12469,-2.0708,GO
12470,-2.0708,GO
12471,-2.0710,GO
12472,-2.0710,GO
12473,-2.0713,GO
12474,-2.0713,GO
12475,-2.0716,GO
12476,-2.0716,GO
12477,-2.0713,GO
12478,-2.0716,GO
12479,-2.0716,GO
12480,-2.0716,GO
12481,-2.0718,GO
12482,-2.0718,GO
12483,-2.0716,GO
12484,-2.0716,GO
12485,-2.0716,GO
12486,-2.0716,GO
12487,-2.0718,GO
12488,-2.0716,GO
12489,-2.0718,GO
12490,-2.0716,GO
12491,-2.0716,GO
12492,-2.0716,GO
12493,-2.0713,GO
12494,-2.0713,GO
12495,-2.0713,GO
12496,-2.0713,GO
12497,-2.0710,GO
12498,-2.0710,GO
12499,-2.0708,GO
12500,-2.0710,GO
12501,-2.0710,GO
12502,-2.0710,GO
12503,-2.0708,GO
12504,-2.0708,GO
12505,-2.0708,GO
12506,-2.0708,GO
12507,-2.0710,GO
12508,-2.0710,GO
12509,-2.0710,GO
12510,-2.0713,GO
12511,-2.0713,GO
12512,-2.0713,GO
12513,-2.0713,GO
12514,-2.0716,GO
12515,-2.0718,GO
12516,-2.0718,GO
12517,-2.0721,GO
12518,-2.0721,GO
12519,-2.0721,GO
12520,-2.0723,GO
12521,-2.0726,GO
12522,-2.0728,GO
12523,-2.0731,GO
12524,-2.0731,GO
12525,-2.0731,GO
12526,-2.0731,GO
12527,-2.0731,GO
12528,-2.0731,GO
12529,-2.0733,GO
12530,-2.0733,GO
12531,-2.0731,GO
12532,-2.0731,GO
12533,-2.0723,GO
12534,-2.0716,GO
12535,-2.0703,GO
12536,-2.0685,GO
12537,-2.0664,GO
12538,-2.0644,GO
12539,-2.0621,GO
12540,-2.0600,GO
12541,-2.0572,GO
12542,-2.0536,GO
12543,-2.0480,GO
12544,-2.0401,GO
12545,-2.0298,GO
12546,-2.0183,GO
12547,-2.0086,GO
12548,-2.0029,GO
12549,-2.0040,GO
12550,-2.0124,GO
12551,-2.0283,GO
12552,-2.0493,GO
12553,-2.0733,GO
12554,-2.0979,GO
12555,-2.1204,GO
12556,-2.1389,GO
12557,-2.1517,GO
12558,-2.1568,GO
12559,-2.1542,GO
12560,-2.1443,GO
12561,-2.1286,GO
12562,-2.1100,GO
12563,-2.0908,GO
12564,-2.0739,GO
12565,-2.0621,GO
12566,-2.0570,GO
12567,-2.0593,GO
12568,-2.0677,GO
12569,-2.0808,GO
12570,-2.0966,GO
12571,-2.1120,GO
12572,-2.1243,GO
12573,-2.1312,GO
12574,-2.1315,GO
12575,-2.1258,GO
12576,-2.1153,GO
12577,-2.1020,GO
12578,-2.0869,GO
12579,-2.0716,GO
12580,-2.0570,GO
12581,-2.0434,GO
12582,-2.0308,GO
12583,-2.0198,GO
12584,-2.0109,GO
12585,-2.0050,GO
12586,-2.0017,GO
12587,-1.9996,GO
12588,-1.9971,GO
12589,-1.9932,GO
12590,-1.9871,GO
12591,-1.9802,GO
12592,-1.9740,GO
12593,-1.9699,GO
12594,-1.9697,GO
12595,-1.9727,GO
12596,-1.9794,GO
12597,-1.9889,GO
12598,-1.9996,GO
12599,-2.0119,GO
12600,-2.0250,GO
12601,-2.0390,GO
12602,-2.0531,GO
12603,-2.0672,GO
12604,-2.0797,GO
12605,-2.0897,GO
12606,-2.0972,GO
12607,-2.1020,GO
12608,-2.1051,GO
12609,-2.1074,GO
12610,-2.1092,GO
12611,-2.1112,GO
12612,-2.1133,GO
12613,-2.1158,GO
12614,-2.1184,GO
12615,-2.1210,GO
12616,-2.1238,GO
12617,-2.1261,GO
12618,-2.1276,GO
12619,-2.1286,GO
12620,-2.1292,GO
12621,-2.1289,GO
12622,-2.1281,GO
12623,-2.1276,GO
12624,-2.1263,GO
12625,-2.1251,GO
12626,-2.1228,GO
12627,-2.1194,GO
12628,-2.1148,GO
12629,-2.1079,GO
12630,-2.0987,GO
12631,-2.0867,GO
12632,-2.0721,GO
12633,-2.0554,GO
12634,-2.0375,GO
12635,-2.0201,GO
12636,-2.0042,GO
12637,-1.9904,GO
12638,-1.9807,GO
12639,-1.9750,GO
12640,-1.9738,GO
12641,-1.9761,GO
12642,-1.9817,GO
12643,-1.9894,GO
12644,-1.9978,GO
12645,-2.0063,GO
12646,-2.0140,GO
12647,-2.0204,GO
12648,-2.0252,GO
12649,-2.0296,GO
12650,-2.0337,GO
12651,-2.0378,GO
12652,-2.0426,GO
12653,-2.0485,GO
12654,-2.0557,GO
12655,-2.0636,GO
12656,-2.0721,GO
12657,-2.0803,GO
12658,-2.0879,GO
12659,-2.0943,GO
12660,-2.0992,GO
12661,-2.1015,GO
12662,-2.1018,GO
12663,-2.0997,GO
12664,-2.0961,GO
12665,-2.0915,GO
12666,-2.0872,GO
12667,-2.0838,GO
12668,-2.0818,GO
12669,-2.0810,GO
12670,-2.0810,GO
12671,-2.0815,GO
12672,-2.0820,GO
12673,-2.0815,GO
12674,-2.0800,GO
12675,-2.0769,GO
12676,-2.0726,GO
12677,-2.0672,GO
12678,-2.0608,GO
12679,-2.0539,GO
12680,-2.0475,GO
12681,-2.0413,GO
12682,-2.0362,GO
12683,-2.0326,GO
12684,-2.0301,GO
12685,-2.0288,GO
12686,-2.0285,GO
12687,-2.0291,GO
12688,-2.0301,GO
12689,-2.0316,GO
12690,-2.0337,GO
12691,-2.0362,GO
12692,-2.0398,GO
12693,-2.0442,GO
12694,-2.0500,GO
12695,-2.0572,GO
12696,-2.0659,GO
12697,-2.0756,GO
12698,-2.0854,GO
12699,-2.0951,GO
12700,-2.1036,GO
12701,-2.1107,GO
12702,-2.1164,GO
12703,-2.1197,GO
12704,-2.1207,GO
12705,-2.1194,GO
12706,-2.1158,GO
12707,-2.1110,GO
12708,-2.1051,GO
12709,-2.0984,GO
12710,-2.0915,GO
12711,-2.0846,GO
12712,-2.0780,GO
12713,-2.0713,GO
12714,-2.0646,GO
12715,-2.0580,GO
12716,-2.0511,GO
12717,-2.0442,GO
12718,-2.0372,GO
12719,-2.0306,GO
12720,-2.0244,GO
12721,-2.0191,GO
12722,-2.0145,GO
12723,-2.0116,GO
12724,-2.0099,GO
12725,-2.0099,GO
12726,-2.0114,GO
12727,-2.0137,GO
12728,-2.0168,GO
12729,-2.0201,GO
